alexandra-mcgrorty,1.3,2.7,1.0,1.0,1.0,1.0,10.0,100.0,0.0,0.0,0.0,0.0
alexandra-notman,1.3,1.0,3.0,1.0,2.2,1.0,1.0,6.0,0.0,0.0,0.0,0.0
alexandria-duncan,1.5,1.0,1.0,1.0,1.2,2.0,3.0,9.0,0.0,0.0,0.0,0.0
alexandria-habbas,1.5,1.2,1.0,1.0,1.1,2.0,8.0,23.0,0.0,0.0,0.0,0.0
alexandria-rainey,2.0,4.1,1.0,3.7,1.6,1.0,29.0,410.0,0.0,3.0,1.0,0.0
alexia-katz,0,0,0,0,0,0,0,0,0,0,0,0
alexis-altazin,2.3,1.8,3.4,1.0,1.2,3.0,7.0,40.0,0.0,0.0,0.0,0.0
alexis-beren,1.3,2.7,1.0,1.0,1.0,1.0,10.0,100.0,0.0,0.0,0.0,0.0
alexis-kunsak,2.8,3.1,1.0,4.3,1.0,3.0,49.0,143.0,0.0,14.0,7.0,0.0
alexis-rachel,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
alexis-sarabia,2.0,1.0,1.0,1.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0
alexis-tesner,1.1,1.0,1.0,1.0,1.5,1.0,1.0,18.0,0.0,0.0,0.0,0.0
alexis-ukaha,1.7,2.6,1.0,1.0,1.0,2.0,9.0,88.0,0.0,0.0,0.0,0.0
alexis-webb,2.4,2.0,1.0,4.5,2.2,2.0,5.0,50.0,0.0,4.0,3.0,0.0
alexk,1.2,1.0,1.0,1.0,2.3,1.0,1.0,3.0,0.0,0.0,0.0,0.0
alextyson,1.1,1.0,1.0,1.0,1.4,1.0,2.0,6.0,0.0,0.0,0.0,0.0
alexx-mightty,1.2,1.0,1.0,1.0,2.3,1.0,2.0,6.0,0.0,0.0,0.0,0.0
alfahd99999,1.0,1.0,1.0,1.0,1.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
alfonso-coley,1.6,1.0,5.0,3.0,1.6,1.0,1.0,3.0,0.0,1.0,1.0,0.0
alfred-ingram,1.8,1.4,4.3,1.0,1.3,2.0,5.0,28.0,0.0,0.0,0.0,0.0
alfred-j-lemire,1.3,1.4,1.0,2.0,1.7,1.0,7.0,28.0,0.0,3.0,2.0,0.0
alfredo,1.9,2.6,1.0,2.0,1.0,2.0,29.0,87.0,0.0,1.0,1.0,0.0
alfredo-dominguez-iii,1.2,2.2,1.0,1.0,1.0,1.0,12.0,60.0,0.0,0.0,0.0,0.0
ali-mohsseni,1.3,1.0,1.0,3.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0
ali-okur,1.1,1.0,1.0,1.0,1.7,1.0,1.0,3.0,0.0,0.0,0.0,0.0
ali-pannoni,2.3,3.0,1.0,4.0,1.3,2.0,14.0,139.0,1.0,6.0,4.0,0.0
alia-singh,1.2,1.0,1.0,1.0,2.2,1.0,2.0,0.0,0.0,0.0,0.0,0.0
alice-cheryl,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
alice-kennedy,1.5,1.0,1.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0
